Object Name,RA(deg),DEC(deg),Velocity,Redshift,Distance,Best Mag OLD,Abs Mag OLD,Photometry/Distance Note,General Note,Best mag_g,Best mag_r,Best mag_z,New Abs Mag,g_new - g_old,NED RI Distance,NED RI stdev ,NED Name,Source,RA_SDSS,Dec_SDSS,z_SDSS,plate,fiberID,URL,SDSS Spectrum Filename,specObjID,Nucl/extra,RA_HI,DEC_HI,RA_AA oc,DEC_AA oc,HI_OC Offset,AA_cz,Name,HI position,OC position,HI FWHM,HI Flux,S/N,rms,AA Dist,HI Mass,Observed?,4M,MDM,Lick,Palomar,HET,check,StarSub Spectrum Name,Spectrum Quality,SpecQual Note,EXP Time,,,Choice,modelMag_g,modelMag_r,modelMag_z,petroMag_g,petroRad_g,petroMag_r,petroRad_r,petroMag_z,petroRad_z,B_modelMag_g,B_modeMag_r,B_modelMag_z,B_petroMag_g,B_petroMag_r,B_petroMag_z,modg diff,modr diff,modz diff,petg diff,petr diff,petz diff,E(B-V),(PC - MC) g,(PC - MC) r,(PC - MC) z,Spectra Obtained,S/N ok?,ssub ok?,"AGN candidate? (1=yes, 2=maybe)"
094640.91+141151.9,146.6705,14.197766,3852.721296,0.0128514,57.6581,16.859774,-16.94452764,-,,16.859774,16.39711,16.010876,-16.94452764,0,,,,SDSS,146.6705,14.197766,0.0128514003008604,2582,470,http://das.sdss.org/spectro/1d_26/2582/1d/spSpec-54139-2582-470.fit,727000917072674816.fit,727000917072674816,n,146.6741667,14.19694444,146.67125,14.19777778,10.61216535,3738,,094641.8+141149,094641.1+141152,190(  2),2.96(0.08),20.9,2.3,56.2,9.34,,,,,,,,t727000917072674816_ssub.fits,,,,,,PC,16.95816,16.459232,16.046247,16.859774,7.848278,16.39711,7.84539,16.010876,7.602275,,,,,,,,,,,,,,-0.10,-0.06,-0.04,,1,1,0
114027.35+152404.3,175.114,15.40122,3300,0.011008,51.9286,16.604158,-16.97287507,-,,16.63254,16.207481,15.944716,-16.94449307,0.028382,,,NGC 3800A,SDSS,175.11397,15.401233,0.011013999581337,1755,590,http://das.sdss.org/spectro/1d_26/1755/1d/spSpec-53386-1755-590.fit,494217877725904896.fit,494217877725904896,n,175.10875,15.40305556,175.11375,15.40194444,17.80854575,3298,N3800a,114026.1+152411,114027.3+152407,168(  4),3.89(0.08),27.8,2.41,49.7,9.35,,,,,,,,t494217877725904896_ssub.fits,,,,,,PC,16.679186,16.241877,15.829979,16.63254,11.535728,16.207481,11.308563,15.944716,9.934699,,,,,,,,,,,,,,-0.05,-0.03,0.11,,1,1,0
102440.11+144524.3,156.16713,14.756765,1417.856817,0.0047295,24.588,15.050857,-16.90275902,-,,15.050857,14.542291,14.458263,-16.90275902,0,23.4,0,,SDSS,156.16713,14.756765,0.00472950004041195,2590,62,http://das.sdss.org/spectro/1d_26/2590/1d/spSpec-54175-2590-062.fit,729252869793906688.fit,729252869793906688,n,156.1654167,14.76055556,156.1666667,14.75638889,15.61844675,1382,094-035,102439.7+144538,102440.0+144523,167(  2),18.62(0.10),119.6,2.68,22.6,9.35,,,,,,,,t729252869793906688_ssub.fits,,,,,,PC,14.941656,14.436863,14.196328,15.050857,41.236679,14.542291,39.591049,14.458263,35.165195,,,,,,,,,,,,,,0.11,0.11,0.26,,1,1,0
113438.61+153717.9,173.66088,15.62164,5092,0.016984,76.7613,17.543083,-16.88262861,-,,17.549421,17.11104,16.738743,-16.87629061,0.006338,,,SDSS J113438.61+153717.9,SDSS,173.66088,15.621641,0.0170217007398605,1754,607,http://das.sdss.org/spectro/1d_26/1754/1d/spSpec-53385-1754-607.fit,493936398525530112.fit,493936398525530112,n,,,,,,,,,,,,,,,,,,,,,,,t493936398525530112_ssub.fits,,,,,,PC,17.535889,17.131292,16.786869,17.549421,6.155139,17.11104,6.767226,16.738743,7.283483,,,,,,,,,,,,,,0.01,-0.02,-0.05,,1,1,0
131343.75+124616.7,198.4323,12.77133,3527,0.011765,55.9547,16.86022,-16.87896286,-,,16.873095,16.544945,16.590822,-16.86608786,0.012875,,,SDSS J131343.75+124616.8,SDSS,198.4323,12.771334,0.0117279002442956,1697,458,http://das.sdss.org/spectro/1d_26/1697/1d/spSpec-53142-1697-458.fit,477891280551018496.fit,477891280551018496,n,198.4429167,12.76416667,198.4325,12.77138889,44.87279158,3381,,131346.3+124551,131343.8+124617,68( 21),0.56(0.06),6,2.25,50.6,8.53,,,,,,,,t477891280551018496_ssub.fits,,,,,,PC,16.810093,16.488901,16.318415,16.873095,14.154565,16.544945,14.96579,16.590822,11.835007,,,,,,,,,,,,,,0.06,0.06,0.27,,1,1,0
114529.61+101205.9,176.37338,10.20164,3995,0.013326,61.8097,17.135733,-16.81955018,-,,17.156401,16.711008,16.427736,-16.79888218,0.020668,,,SDSS J114529.61+101205.9,SDSS,176.37336,10.201638,0.0133076999336481,1226,477,http://das.sdss.org/spectro/1d_26/1226/1d/spSpec-52734-1226-477.fit,345314814253334528.fit,345314814253334528,n,,,,,,,,,,,,,,,,,,,,,,,t345314814253334528_ssub.fits,,,,,,PC,17.217211,16.852606,16.538967,17.156401,5.238406,16.711008,5.958356,16.427736,5.347007,,,,,,,,,,,,,,-0.06,-0.14,-0.11,,1,1,0
134201.80+144233.7,205.50751,14.70937,4625,0.015426,71.9152,17.527084,-16.75701946,-,,17.52774,17.327984,17.402327,-16.75636346,0.000656,,,SDSS J134201.80+144233.7,SDSS,205.50751,14.709371,0.0154210003092885,1776,451,http://das.sdss.org/spectro/1d_26/1776/1d/spSpec-53858-1776-451.fit,500130878878384128.fit,500130878878384128,n,205.5091667,14.71166667,205.5075,14.70944444,9.88324823,4537,,134202.2+144242,134201.8+144234,151( 11),0.95(0.07),7.4,2.04,67.1,9,,,,,,,,t500130878878384128_ssub.fits,,,,,,PC,17.501125,17.301201,17.258192,17.52774,6.635463,17.327984,6.733351,17.402327,6.675874,,,,,,,,,,,,,,0.03,0.03,0.14,,1,1,0
094839.30+114610.0,147.16379,11.76947,3788,0.012637,56.7998,17.013853,-16.75788103,-,,17.016142,16.52976,16.377121,-16.75559203,0.002289,,,SDSS J094839.30+114610.0,SDSS,147.16379,11.76947,0.0126451002433896,1742,635,http://das.sdss.org/spectro/1d_26/1742/1d/spSpec-53053-1742-635.fit,490557272993300480.fit,490557272993300480,n,,,,,,,,,,,,,,,,,,,,,,,t490557272993300480_ssub.fits,,,,,,PC,16.542152,16.15049,15.867272,17.016142,9.945307,16.52976,12.015453,16.377121,11.228008,,,,,,,,,,,,,,0.47,0.38,0.51,,1,1,0
114655.93+155624.2,176.73307,15.94008,3457,0.011532,54.2512,16.954691,-16.717356,-,,16.954691,16.24074,15.742194,-16.71735574,0,,,2MASX J11465590+1556246,SDSS,176.73307,15.940085,0.0115136001259089,1761,569,http://das.sdss.org/spectro/1d_26/1761/1d/spSpec-53376-1761-569.fit,495906684548415488.fit,495906684548415488,n,,,,,,,,,,,,,,,,,,,,,,,t495906684548415488_ssub.fits,,,,,,PC,16.988289,16.267008,15.717291,16.954691,8.764243,16.24074,8.965791,15.742194,8.004034,,,,,,,,,,,,,,-0.03,-0.03,0.02,,1,1,0
114356.53+115626.0,175.98558,11.94058,3118,0.010401,49.1515,16.755341,-16.70234288,-,,16.742353,16.485741,16.345013,-16.71533088,-0.012988,,,SDSS J114356.54+115626.1,SDSS,175.98558,11.940595,0.0103700999170542,1608,175,http://das.sdss.org/spectro/1d_26/1608/1d/spSpec-53138-1608-175.fit,452839989256912896.fit,452839989256912896,n,,,,,,,,,,,,,,,,,,,,,,,t452839989256912896_ssub.fits,,,,,,PC,16.768347,16.560305,16.502337,16.742353,9.224012,16.485741,9.50718,16.345013,10.70103,16.768347,16.560305,16.291157,16.742353,16.485741,16.345013,0,0,-0.21118,0,0,0,,-0.03,-0.07,-0.16,,1,1,0
114759.04+100825.7,176.996,10.1405,3088,0.010302,49.0261,16.743902,-16.70823473,-,,16.749231,16.12492,16.574043,-16.70290573,0.005329,,,SDSS J114759.04+100825.8,SDSS,176.99597,10.140504,0.0103540001437068,1225,631,http://das.sdss.org/spectro/1d_26/1225/1d/spSpec-52760-1225-631.fit,345033451591696384.fit,345033451591696384,n,,,,,,,,,,,,,,,,,,,,,,,t345033451591696384_ssub.fits,,,,,,PC,16.599953,16.099993,16.003998,16.749231,20.867716,16.12492,21.508963,16.574043,20.835989,,,,,,,,,,,,,,0.15,0.02,0.57,,0,1,0
114606.17+105216.2,176.52574,10.87119,3899,0.013006,60.7627,17.273741,-16.64444432,-,,17.277382,16.885513,16.555265,-16.64080332,0.003641,,,SDSS J114606.17+105216.2,SDSS,176.52575,10.87117,0.0130751002579927,1225,605,http://das.sdss.org/spectro/1d_26/1225/1d/spSpec-52760-1225-605.fit,345033451482644480.fit,345033451482644480,n,,,,,,,,,,,,,,,,,,,,,,,t345033451482644480_ssub.fits,,,,,,PC,17.10932,16.735289,16.414402,17.277382,3.156794,16.885513,3.472898,16.555265,3.492154,,,,,,,,,,,,,,0.17,0.15,0.14,,1,1,0
094345.73+144047.9,145.94058,14.679998,3903.055967,0.0130193,58.2909,17.253483,-16.5745208,-,,17.253483,16.983231,16.69739,-16.5745208,0,,,,SDSS,145.94058,14.679998,0.0130193000659347,2582,384,http://das.sdss.org/spectro/1d_26/2582/1d/spSpec-54139-2582-384.fit,727000916711964672.fit,727000916711964672,n,145.9454167,14.68083333,145.9404167,14.68,17.66892759,3823,FGC 932,094346.9+144051,094345.7+144048,165(  6),1.50(0.06),14.8,1.75,57.4,9.07,,,,,,,,t727000916711964672_ssub.fits,,,,,,PC,17.372513,16.96921,16.579218,17.253483,14.149356,16.983231,11.90855,16.69739,11.42439,,,,,,,,,,,,,,-0.12,0.01,0.12,,1,1,0
131635.77+120908.6,199.14908,12.1524,3448,0.0115,54.4811,17.144882,-16.53634734,-,,17.115471,16.781128,16.507441,-16.56575834,-0.029411,,,SDSS J131635.78+120908.6,SDSS,199.14908,12.152398,0.0113794002681971,1697,517,http://das.sdss.org/spectro/1d_26/1697/1d/spSpec-53142-1697-517.fit,477891280798482432.fit,477891280798482432,n,,,,,,,,,,,,,,,,,,,,,,,t477891280798482432_ssub.fits,,,,,,PC,17.17219,16.831251,16.569309,17.115471,5.911487,16.781128,5.767268,16.507441,5.712536,,,,,,,,,,,,,,-0.06,-0.05,-0.06,,1,1,0
134522.55+112210.9,206.344,11.36972,4971,0.01658,76.5586,17.854267,-16.56570292,-,,17.866013,17.739632,17.637888,-16.55395692,0.011746,,,SDSS J134522.56+112210.9,SDSS,206.344,11.369717,0.0167028997093439,1701,188,http://das.sdss.org/spectro/1d_26/1701/1d/spSpec-53142-1701-188.fit,479017179325399040.fit,479017179325399040,n,,,,,,,,,,,,,,,,,,,,,,,t479017179325399040_ssub.fits,,,,,,PC,17.817389,17.74464,17.669575,17.866013,3.709013,17.739632,4.059967,17.637888,4.131639,,,,,,,,,,,,,,0.05,-0.01,-0.03,,1,1,0
113419.55+131919.1,173.58146,13.322,1199,0.003998,24.5185,15.424296,-16.52317349,-,,15.417013,15.146274,15.140403,-16.53045649,-0.007283,,,IC 2934,SDSS,173.58146,13.321998,0.0040322900749743,1607,325,http://das.sdss.org/spectro/1d_26/1607/1d/spSpec-53083-1607-325.fit,452558278686146560.fit,452558278686146560,n,173.58125,13.32361111,173.5804167,13.32166667,7.584332622,1195,I2934,113419.5+131925,113419.3+131918,61(  2),4.73(0.07),56.4,2.38,21.4,8.71,,,,,,,,t452558278686146560_ssub.fits,,,,,,PC,15.329558,15.100406,14.918907,15.417013,16.900602,15.146274,17.298542,15.140403,15.480075,,,,,,,,,,,,,,0.09,0.05,0.22,,1,1,0
113423.20+154002.4,173.59669,15.66734,5183,0.017288,78.0541,17.936008,-16.525971,-,,17.936008,17.518911,17.277946,-16.5259706,0,,,SDSS J113423.20+154002.4,SDSS,173.59669,15.667336,0.0172067005187273,1754,609,http://das.sdss.org/spectro/1d_26/1754/1d/spSpec-53385-1754-609.fit,493936398533918720.fit,493936398533918720,n,,,,,,,,,,,,,,,,,,,,,,,t493936398533918720_ssub.fits,,,,,,PC,17.924784,17.482218,17.054218,17.936008,9.003497,17.518911,8.58268,17.277946,7.854608,,,,,,,,,,,,,,0.01,0.04,0.22,,0,1,0
101413.06+155142.2,153.55443,15.861728,2988.801324,0.00996965,46.2285,16.802231,-16.52231801,-,,16.802231,16.432219,16.082224,-16.52231801,0,,,,SDSS,153.55443,15.861728,0.00996964983642101,2588,503,http://das.sdss.org/spectro/1d_26/2588/1d/spSpec-54174-2588-503.fit,728689917395206144.fit,728689917395206144,n,,,,,,,,,,,,,,,,,,,,,,,t728689917395206144_ssub.fits,,,,,,PC,16.839176,16.44577,16.122616,16.802231,8.857584,16.432219,8.59397,16.082224,8.129897,,,,,,,,,,,,,,-0.04,-0.01,-0.04,,1,1,0
112424.77+141211.0,171.10321,14.20308,4980,0.016612,75.0321,17.85285,-16.52338551,-,,17.860235,17.544144,17.329807,-16.51600051,0.007385,,,SDSS J112424.77+141211.1,SDSS,171.10323,14.203097,0.0165918990969658,1753,150,http://das.sdss.org/spectro/1d_26/1753/1d/spSpec-53383-1753-150.fit,493654913042087936.fit,493654913042087936,n,171.10375,14.19527778,171.1033333,14.20305556,28.03773565,4973,,112424.9+141143,112424.8+141211,40(  9),0.48(0.03),9.5,1.74,73.3,8.78,,,,,,,,t493654913042087936_ssub.fits,,,,,,PC,17.9592,17.632126,17.454992,17.860235,6.287114,17.544144,6.769525,17.329807,5.711061,,,,,,,,,,,,,,-0.10,-0.09,-0.13,,1,1,0
113612.91+154359.3,174.05383,15.73314,4987,0.016634,75.4132,17.861031,-16.52620585,-,,17.873798,17.530752,17.228727,-16.51343885,0.012767,,,SDSS J113612.92+154359.3,SDSS,174.05383,15.73314,0.0166896991431713,1755,373,http://das.sdss.org/spectro/1d_26/1755/1d/spSpec-53386-1755-373.fit,494217876815740928.fit,494217876815740928,n,174.0479167,15.73638889,174.05375,15.73305556,23.50677826,4969,,113611.5+154411,113612.9+154359,141(  7),1.21(0.05),12.7,1.79,73.2,9.18,,,,,,,,t494217876815740928_ssub.fits,,,,,,PC,17.811819,17.469896,17.229445,17.873798,10.602343,17.530752,10.975942,17.228727,12.147615,,,,,,,,,,,,,,0.06,0.06,0.00,,1,1,0
104727.43+135323.0,161.86432,13.88975,3016.45704,0.0100619,47.0856,16.859192,-16.50524854,-,,16.852356,16.422041,16.02389,-16.51208454,-0.006836,,,,SDSS,161.86432,13.88975,0.0100619001314044,1749,514,http://das.sdss.org/spectro/1d_26/1749/1d/spSpec-53357-1749-514.fit,492528902992822272.fit,492528902992822272,n,161.86,13.89027778,161.8641667,13.88972222,14.69808457,3003,,104726.4+135325,104727.4+135323,19( 16),0.26(0.03),6.8,1.82,45.6,8.11,,,,,,,,t492528902992822272_ssub.fits,,,,,,PC,16.864246,16.427328,16.095488,16.852356,8.439668,16.422041,8.99145,16.02389,9.954604,,,,,,,,,,,,,,-0.01,-0.01,-0.07,,1,1,0
101227.02+122037.5,153.1126,12.34375,2936,0.009792,45.4282,16.828037,-16.45859065,-,,16.806234,16.800537,16.855873,-16.48039365,-0.021803,,,SDSS J101227.02+122037.4,SDSS,153.1126,12.343749,0.00982842966914177,1745,196,http://das.sdss.org/spectro/1d_26/1745/1d/spSpec-53061-1745-196.fit,491401730441871360.fit,491401730441871360,n,,,,,,,,,,,,,,,,,,,,,,,t491401730441871360_ssub.fits,,,,,,PC,16.692268,16.764074,17.054171,16.806234,3.0885,16.800537,5.242388,16.855873,6.101699,,,,,,,,,,,,,,0.11,0.04,-0.20,,1,1,0
101308.96+132519.4,153.28737,13.42206,5144,0.017158,75.8993,17.908278,-16.49291085,-,,17.935776,17.567257,17.235888,-16.46541285,0.027498,,,SDSS J101308.97+132519.4,SDSS,153.28736,13.422066,0.0171587001532316,1745,494,http://das.sdss.org/spectro/1d_26/1745/1d/spSpec-53061-1745-494.fit,491401731691773952.fit,491401731691773952,n,,,,,,,,,,,,,,,,,,,,,,,t491401731691773952_ssub.fits,,,,,,PC,17.963892,17.546623,17.264591,17.935776,7.715527,17.567257,7.709019,17.235888,8.259382,,,,,,,,,,,,,,-0.03,0.02,-0.03,,1,1,0
104859.77+105007.5,162.24908,10.83542,1921,0.006408,31.8064,16.053509,-16.459064,-,,16.053509,15.616869,15.745232,-16.45906358,0,,,CGCG 066-024,SDSS,162.24909,10.835411,0.00641250004991889,1601,53,http://das.sdss.org/spectro/1d_26/1601/1d/spSpec-53115-1601-053.fit,450869565123985408.fit,450869565123985408,n,162.25125,10.83583333,162.24875,10.83527778,9.062969684,1939,066-024,104900.3+105009,104859.7+105007,120(  6),1.44(0.06),13.3,1.96,17.5,8.02,"4M2010 N1 44, 45","4M2010 N1 44, 45",,,,,,t450869565123985408_ssub.fits,B+,,3900,,,PC,15.916522,15.533783,15.166429,16.053509,18.608166,15.616869,18.536295,15.745232,16.867489,,,,,,,,,,,,,0.032,0.14,0.08,0.58,104859+105007.fits,0,0,0
113804.18+13120-0.1,174.51742,13.2,3365,0.011224,52.5794,17.174686,-16.42939213,-,,17.164822,16.810696,16.735178,-16.43925613,-0.009864,,,SDSS J113804.18+131159.9,SDSS,174.51742,13.199995,0.0111811002716422,1607,534,http://das.sdss.org/spectro/1d_26/1607/1d/spSpec-53083-1607-534.fit,452558279562756096.fit,452558279562756096,n,174.52125,13.19944444,174.5175,13.2,13.29462834,3312,,113805.1+131158,113804.2+131200,47( 21),0.41(0.05),6.9,1.88,49.8,8.38,,,,,,,,t452558279562756096_ssub.fits,,,,,,PC,17.162172,16.878908,16.627211,17.164822,9.231503,16.810696,9.614847,16.735178,7.90105,,,,,,,,,,,,,,0.00,-0.07,0.11,,1,1,0
133156.93+133101.5,202.98724,13.51711,4859,0.016207,75.1599,17.953747,-16.42618397,-,,17.958372,17.811731,17.835058,-16.42155897,0.004625,,,SDSS J133156.93+133101.6,SDSS,202.98724,13.517113,0.0162071995437145,1775,252,http://das.sdss.org/spectro/1d_26/1775/1d/spSpec-53847-1775-252.fit,499849355822366720.fit,499849355822366720,n,,,,,,,,,,,,,,,,,,,,,,,t499849355822366720_ssub.fits,,,,,,PC,17.994064,17.874443,17.751545,17.958372,2.878752,17.811731,3.184643,17.835058,3.100863,,,,,,,,,,,,,,-0.04,-0.06,0.08,,1,1,0
114057.48+130842.2,175.23951,13.14508,3624,0.012089,56.4393,17.366497,-16.39141109,-,,17.351578,16.94429,16.720732,-16.40633009,-0.014919,,,SDSS J114057.48+130842.2,SDSS,175.23951,13.145078,0.0120465997606516,1607,605,http://das.sdss.org/spectro/1d_26/1607/1d/spSpec-53083-1607-605.fit,452558279860551680.fit,452558279860551680,n,175.2383333,13.1375,175.2395833,13.145,27.35330504,3579,,114057.2+130815,114057.5+130842,194( 14),1.11(0.06),10.6,1.69,53.6,8.88,,,,,,,,t452558279860551680_ssub.fits,,,,,,PC,17.339836,16.951981,16.628096,17.351578,6.854174,16.94429,6.601816,16.720732,6.32164,,,,,,,,,,,,,,0.01,-0.01,0.09,,1,1,0
094719.94+122347.3,146.83312,12.3965,3779,0.012607,56.3113,17.34955,-16.40342777,-,,17.370728,16.849905,16.756691,-16.38224977,0.021178,,,SDSS J094719.95+122347.4,SDSS,146.83312,12.396495,0.0125606004148722,1742,562,http://das.sdss.org/spectro/1d_26/1742/1d/spSpec-53053-1742-562.fit,490557272687116288.fit,490557272687116288,n,146.83375,12.39388889,146.8333333,12.39638889,9.118460939,3759,,094720.1+122338,094720.0+122347,135(  6),1.31(0.06),12.3,2.04,56.6,8.99,,,,,,,,t490557272687116288_ssub.fits,,,,,,PC,17.273956,16.809149,16.650068,17.370728,13.021213,16.849905,13.087598,16.756691,10.272652,,,,,,,,,,,,,,0.10,0.04,0.11,,1,1,0
111721.16+155714.6,169.33818,15.954064,3844.866808,0.0128252,59.2881,17.520836,-16.34400166,-,,17.520836,17.358759,17.320719,-16.34400166,0,,,,SDSS,169.33818,15.954064,0.0128252003341913,2494,247,http://das.sdss.org/spectro/1d_26/2494/1d/spSpec-54174-2494-247.fit,702231268510662656.fit,702231268510662656,n,,,,,,,,,,,,,,,,,,,,,,,t702231268510662656_ssub.fits,,,,,,PC,17.525423,17.351,17.249613,17.520836,3.793187,17.358759,3.776566,17.320719,3.677302,,,,,,,,,,,,,,0.00,0.01,0.07,,1,1,0
104702.76+133401.4,161.76151,13.56708,3209,0.010705,49.8094,17.161398,-16.32515855,-,,17.163355,16.727991,16.570219,-16.32320155,0.001957,,,SDSS J104702.76+133401.5,SDSS,161.76151,13.567084,0.0107132997363806,1749,182,http://das.sdss.org/spectro/1d_26/1749/1d/spSpec-53357-1749-182.fit,492528901600313344.fit,492528901600313344,n,161.7608333,13.56888889,161.7616667,13.56694444,7.583183738,3231,,104702.6+133408,104702.8+133401,240( 16),1.22(0.08),7.8,2.26,48.9,8.84,,,,,,,,t492528901600313344_ssub.fits,B+,,6600,,,PC,17.135763,16.686424,16.404715,17.163355,10.07399,16.727991,9.82215,16.570219,8.190451,,,,,,,,,,,,,,0.03,0.04,0.17,,1,0,0
131652.31+123253.5,199.21796,12.54822,961,0.003206,14.4412,14.474001,-16.32401541,-,,14.480271,14.151245,13.994061,-16.31774541,0.00627,,,NGC 5058,SDSS,199.21797,12.548232,0.00324627989903092,1697,560,http://das.sdss.org/spectro/1d_26/1697/1d/spSpec-53142-1697-560.fit,477891280978837504.fit,477891280978837504,n,199.22,12.5475,199.2170833,12.54833333,10.67924104,966,N5058a,131652.8+123251,131652.1+123254,178(  1),14.60(0.08),96.6,2.24,16.7,8.98,,,,,,,,t477891280978837504_ssub.fits,,,,,,PC,14.478858,14.170887,13.898565,14.480271,13.155523,14.151245,13.816357,13.994061,12.607476,,,,,,,,,,,,,,0.00,-0.02,0.10,,1,1,0
102304.63+110719.3,155.76933,11.12203,5149,0.017176,75.8853,18.086077,-16.31471128,-,,18.083818,17.762749,17.265221,-16.31697028,-0.002259,,,SDSS J102304.64+110719.3,SDSS,155.76931,11.122015,0.0170904994010925,1598,429,http://das.sdss.org/spectro/1d_26/1598/1d/spSpec-53033-1598-429.fit,450024789583593472.fit,450024789583593472,n,,,,,,,,,,,,,,,,,,,,,,,t450024789583593472_ssub.fits,,,,,,PC,18.097126,17.697903,17.273291,18.083818,8.491834,17.762749,7.765007,17.265221,8.840398,,,,,,,,,,,,,,-0.01,0.06,-0.01,,1,1,0
114215.64+101322.5,175.56517,10.22292,4678,0.015605,71.0561,17.947908,-16.31009884,-,,17.966259,17.672476,17.435953,-16.29174784,0.018351,,,SDSS J114215.64+101322.5,SDSS,175.56507,10.22288,0.0155202997848392,1226,351,http://das.sdss.org/spectro/1d_26/1226/1d/spSpec-52734-1226-351.fit,345314813724852224.fit,345314813724852224,n,,,,,,,,,,,,,,,,,,,,,,,t345314813724852224_ssub.fits,,,,,,PC,18.059381,17.6497,17.428123,17.966259,9.248732,17.672476,9.542663,17.435953,8.703031,,,,,,,,,,,,,,-0.09,0.02,0.01,,1,1,0
114912.23+123753.6,177.30096,12.63158,3999,0.013338,62.7005,17.789976,-16.19637902,-,,17.784472,17.414227,17.473217,-16.20188302,-0.005504,,,SDSS J114912.23+123753.7,SDSS,177.30097,12.631586,0.0132998004555702,1608,625,http://das.sdss.org/spectro/1d_26/1608/1d/spSpec-53138-1608-625.fit,452839991144349696.fit,452839991144349696,n,,,,,,,,,,,,,,,,,,,,,,,t452839991144349696_ssub.fits,,,,,,PC,17.86261,17.387358,17.218012,17.784472,10.138823,17.414227,9.737705,17.473217,5.373289,14.664722,14.266471,14.093801,14.733903,14.317865,14.14988,-3.197888,-3.120887,-3.124211,-3.050569,-3.096362,-3.323337,,-0.08,0.03,0.26,,1,1,0
110842.44+145530.4,167.17687,14.92512,3609,0.012039,55.7904,17.510912,-16.22188538,-,companion,17.538986,17.122761,16.804111,-16.19381138,0.028074,,,SDSS J110842.44+145530.4,SDSS,167.17687,14.92512,0.0120435003191233,1751,564,http://das.sdss.org/spectro/1d_26/1751/1d/spSpec-53377-1751-564.fit,493091939055304704.fit,493091939055304704,n,167.1883333,14.91833333,167.1766667,14.925,47.14909957,3626,,110845.2+145506,110842.4+145530,157(  6),0.75(0.06),7.2,1.87,54.4,8.72,,,,,,,,t493091939055304704_ssub.fits,,,,,,PC,17.59622,17.199396,16.903421,17.538986,4.895944,17.122761,5.177884,16.804111,5.562316,,,,,,,,,,,,,,-0.06,-0.08,-0.10,,1,1,0
112951.03+115812.9,172.46263,11.97025,3241,0.01081,50.8543,17.34643,-16.185208,-,,17.34643,17.063696,17.014086,-16.1852084,0,,,SDSS J112951.03+115812.9,SDSS,172.46263,11.970244,0.0109443999826908,1606,142,http://das.sdss.org/spectro/1d_26/1606/1d/spSpec-53055-1606-142.fit,452276682682793984.fit,452276682682793984,n,172.4620833,11.96916667,172.4625,11.97027778,4.260659789,3229,,112950.9+115809,112951.0+115813,79( 21),2.14(0.08),23.5,2.27,48.7,9.08,,,,,,,,,,,,,,PC,17.418882,17.123787,17.1579,17.34643,11.937766,17.063696,13.143508,17.014086,11.534936,,,,,,,,,,,,,,-0.07,-0.06,-0.14,,1,-,0
100210.38+113836.4,150.54328,11.64347,3505,0.01169,53.0541,17.438921,-16.18467376,-,,17.457441,16.999977,16.873201,-16.16615376,0.01852,,,SDSS J100210.38+113836.4,SDSS,150.54328,11.643468,0.0115598998963833,1744,82,http://das.sdss.org/spectro/1d_26/1744/1d/spSpec-53055-1744-082.fit,491120229217206272.fit,491120229217206272,n,150.5454167,11.64111111,150.5433333,11.64361111,11.61719733,3468,,100210.9+113828,100210.4+113837,129(  7),1.92(0.07),16.8,2.24,52.4,9.09,,,,,,,,t491120229217206272_ssub.fits,,,,,,PC,17.47146,17.06119,16.838362,17.457441,9.597525,16.999977,10.550674,16.873201,9.608133,,,,,,,,,,,,,,-0.01,-0.06,0.03,,1,1,0
131300.25+123648.9,198.25105,12.61359,3331,0.01111,53.5082,17.493391,-16.14871071,-,,17.498024,17.187611,16.941235,-16.14407771,0.004633,,,SDSS J131300.25+123648.9,SDSS,198.25105,12.613593,0.0111026996746659,1697,391,http://das.sdss.org/spectro/1d_26/1697/1d/spSpec-53142-1697-391.fit,477891280270000128.fit,477891280270000128,n,,,,,,,,,,,,,,,,,,,,,,,t477891280270000128_ssub.fits,,,,,,PC,17.609026,17.328077,17.112375,17.498024,10.1266,17.187611,10.272439,16.941235,10.565923,,,,,,,,,,,,,,-0.11,-0.14,-0.17,,1,1,0
094521.39+143447.7,146.33914,14.57994,3818.515241,0.0127373,57.1601,17.667339,-16.1181259,-,,17.667339,17.378,16.967121,-16.1181259,0,,,,SDSS,146.33914,14.57994,0.012737300246954,2582,431,http://das.sdss.org/spectro/1d_26/2582/1d/spSpec-54139-2582-431.fit,727000916909096960.fit,727000916909096960,n,146.33625,14.57777778,146.3395833,14.58027778,14.69272277,3805,,094520.7+143440,094521.5+143449,130(  3),1.33(0.05),15.2,1.71,57.1,9.01,,,,,,,,t727000916909096960_ssub.fits,,,,,,PC,17.637629,17.242289,17.150517,17.667339,13.212079,17.378,13.371323,16.967121,12.460896,,,,,,,,,,,,,,0.03,0.14,-0.18,,1,1,0
